A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Running over it	ᎠᏦᎥᏍᏗᎭ	[atsoʔvhsdiha] /rrd/
Running short of	ᎤᏂᎬᎦ	[uːhniːgvʔga] /rrd/
Rusting	ᎠᎦᏥᏅᎪᎦ	[agaːtsinvgoːga] /rrd/
Rusty	ᎤᎦᏥᏅᎪᏥᏛ	[ugaːtsinvgoːtsiːdv] /rrd/
Saddle	ᎦᏴᎱᎶ	[gaːyvhuːlo] /rrd/
Safety pin	ᎤᏍᏆᏗ	[uːsgwaːhdi] /rrd/
Salamander	ᏓᎴᏴᏍᎩ	[daleːyvːsgi] /rrd/
Salamander	ᏚᏪᎧ	[duweːka] /rrd/
Salix alba	ᏗᎳᎦᎵᏍᎩ ᎡᏆ	[dilaːgalisgi eːgwa] /rrd/
Salix babylonica	ᏗᎦᎦᎸᏅᎯᏓ	[digaʔgalvːnvhiːda] /rrd/
Salix discolor	ᏗᎵᎦᎵᏍᎩ	[diːligalisgi] /rrd/
Salix eastwoodiae	ᏗᎳᎦᎵᏍᎩ ᎤᏍᏗ	[dilaːgalisgi uːsdi] /rrd/
Salmo salar	ᏎᎼᏂ	[seːmoːni] /rrd/
Salmon	ᏎᎼᏂ	[seːmoːni] /rrd/
Salt	ᎠᎹ	[aːma] /rrd/
Sambucus canadensis	ᎪᏒᎦ	[goːsvʔga] /rrd/
Same	ᎤᏐᏱ	[uhsoːyi] /rrd/
Sand	ᏃᏯ	[noːya] /rrd/
Sand piper	ᎠᎪᏮ	[aːgowv] /rrd/
Sandy	ᏃᏯᎭ	[noːyaha] /rrd/
Sap	ᎠᏔᏍᎩᏍᎬᎢ	[ahtasgiːsgvʔi] /rrd/
Sassafras	ᎧᎾᏍᏓᏥ	[kansdaːtsi] /rrd/
Sassafras albidum	ᎧᎾᏍᏓᏥ	[kansdaːtsi] /rrd/
Satin	ᎤᏔᎷᎩᏍᎩ	[utaːluːgiːsgi] /rrd/
Saturday	ᏙᏓᏈᏕᏂ	[dodagwideːni] /rrd/
Saucer	ᎠᏙᎣᎸᏍᏙᏗ	[ahdoʔoːlvsdohdi] /rrd/
Sausage	ᎭᏫᏯ ᎠᏍᏙᏓ	[hawiːya asdoːda] /rrd/
Saving it	ᎠᎵᏏᏅᏗᎭ	[ahlsíːhndiha] /rrd/
Saw	ᎦᏅᏙᎩ	[gaːhndoːgi] /rrd/
Sawbrier	ᏄᎦᎸ	[nuːgaːhlv] /rrd/
Saxifraga micranthidifolia	ᎠᎪᏍᏚᎩᏍᏗ	[agoːsdugiːsdi] /rrd/
Saying it	ᎠᏗᎠ	[adiʔa] /rrd/
Saying it	ᏂᎦᏪᎠ	[nigaweʔa] /rrd/
Scab	ᎤᎵᏍᏓᎸᎢ	[uhlsdalvːʔi] /rrd/
Scald place	ᎤᏓᏁᎳᏬᏓ	[uːdaneːlawoːda] /rrd/
Scalded	ᎤᏓᏁᎳᏬᏓ	[uːdaneːlawoːda] /rrd/
Scalding and scraping it	ᎦᏁᎳᏬᎠ	[ganeːlawóʔa] /rrd/
Scalping him	ᎠᏍᏛᏁᎦᎵᎭ	[asdvneːgaliha] /rrd/
Scar	ᎤᏁᎸᏒ	[uneːlvːsv] /rrd/
Scarf	ᎠᎵᏍᏚᎶᎯ	[ahlsduːlohi] /rrd/
Scarlet tanager	ᏦᎳ	[tsoːhla] /rrd/
Scattering from a pile	ᎠᏗᎦᎴᏯᎠ	[adiːgaleːyaʔa] /rrd/
Scattering it	ᎦᎳᎨᏴᏛᎥᏍᎦ	[galagéhydvʔvːsga] /rrd/
Sceloporus undulatus	ᏔᏳᎭᎵ	[tayuːhaːli] /rrd/
Schoenoplectus tabernaemontani	ᎦᎾᎦᏥ ᎤᏔᎾ	[ganaːgatsi utana] /rrd/
School	ᏗᏕᎶᏆᏍᏗ	[diːdelkwasdi] /rrd/
Scissors	ᏗᎵᏍᏙᏗ	[diːhlsdoːhdi] /rrd/
Sciurus carolinensis	ᏌᎶᎵ	[saloːli] /rrd/
Sciurus niger	ᏌᎶᎵ ᏬᏗ	[saloːli woːhdi] /rrd/
Sciurus spp	ᏌᎶᎵ	[saloːli] /rrd/
Scotch thistle	ᏥᏥ	[tsiːtsi] /rrd/
Scotchmen	ᎠᏂᏍᎦᏥ	[aniːsgaːtsi] /rrd/
Scraping	ᎠᏍᏛᎪᏍᎦ	[ahsdvːgóhsga] (grit corn) /rrd/
Scratching	ᏓᏣᎪᏍᎦ	[daːtsagoːsga] /rrd/
Screech owl	ᏩᎱᎱ	[wahuhu] /rrd/
Seed	ᎤᎦᏔ	[uːkta] /rrd/
Seeing it	ᎠᎪᏩᏘᎭ	[agóːhwtiha] /rrd/
Seine, Net	ᎠᎦᏳᎳᏗ	[agaːhyulaːdi] /rrd/
Seiurus aurocapilla	ᏧᏦᎵᏛ	[tsutsoːldv] /rrd/
Selecting them	ᏓᏑᏯᎩᎠ	[daːhsuːyagíʔa] /rrd/
Seller	ᎦᎾᏗᏍᎩ	[gandisgi] /rrd/
Selling it	ᎤᎾᏕᎦ	[uːndéːga] /rrd/
Seminole	ᎠᏂᏎᎻᏃᎵ	[aniːseːminoːli] /rrd/
Seneca	ᎠᏂᏎᏂᎧ	[aniːseːnika] /rrd/
Separating	ᏓᎦᎴᏂᎠ	[daːgaleːniʔa] /rrd/
September	ᏚᎵᎢᏍᏗ	[duliʔiːsdi] /rrd/
Serviceberry	ᎤᏙᎳᏂ	[udoːlani] /rrd/
Sessile bellwort. Wild oats	ᏧᏍᎦ ᏓᎶᏗ	[tsuːsga dalóːhdi] /rrd/
Setophaga fusca	ᎦᏅᎩ	[ganvːgi] /rrd/
Setophaga pensylvanica	ᏚᏯ	[duːya] /rrd/
Setting a trap	ᎠᏌᏛᎥᏍᎦ	[ahsadvʔvhsga] /rrd/
Setting it down	ᎠᎲᏍᎦ	[ahvhsga] (something solid) /rrd/
Setting it on fire	ᎠᏥᏍᏓᎳᏍᎦ	[atsíːsdahlahsga] /rrd/
Setting out	ᎦᎧᎲᏍᎦ	[gahkahv̌ːhsga] /rrd/
Setting up	ᎦᎧᎲᏍᎦ	[gahkahv̌ːhsga] /rrd/
Seven	ᎦᎵᏉᎩ	[gaːhlgwoːgi] /rrd/
Seven doctorings	ᎦᎵᏉᎩ ᎢᏳᏬᎵᏰᏓ	[gaːhlkwoːgi iyuːwoːhliyeːda] /rrd/
Seven year locust	ᎥᎴ	[vːle] /rrd/
Sevenbark	ᎦᎵᏉᎩ ᏧᏯᏍᏚ	[gaːhlkwoːgi tsuːyaːsdu] /rrd/
Seventeen	ᎦᎵᏆᏚ	[gaːhlgwadu] /rrd/
Seventy	ᎦᎵᏆᏍᎪᎯ	[gaːhlkwaːsgoːhi] /rrd/
Several	ᎢᏳᏓᎴᎦ	[iːyuːdaléːga] /rrd/
Several months ago	ᎢᏯᏅᏓ	[iːyanvːda] /rrd/
Sevierville, TN	ᏏᏈᏲ	[sigwiːyo] /rrd/
Sewing	ᎦᏰᏫᏍᎦ	[gayéːwiːsga] /rrd/
Sewing machine	ᎦᏰᏫᏒᎥᏍᎩ	[gaːyeːwhsvʔvsgi] /rrd/
Shade	ᎤᏙᏗᏍᎬ	[udoːdiːsgv] (in the) /rrd/
Shaking his head no	ᎠᎵᏍᏛᏂᎭ	[ahlsdv́ːhniha] /rrd/
Shaking it	ᎠᏖᎸᎲᏍᎦ	[ahtéːlvhvhsga] /rrd/
Shaking it off of a tree	ᎦᎳᏐᏰᎭ	[gaːhlsóʔyeːha] /rrd/
Shampooing	ᎠᎵᏍᏚᎵᎭ	[ahlsduːliha] /rrd/
Share	ᎠᏯᏙᎸᎢ	[ayaːdohlvʔi] /rrd/
Sharp-shinned hawk	ᏗᎦᎦᏛᎾᎯᏛ	[digaːgdvnahiːdv] /rrd/
Shaving someone	ᎠᏍᏙᏰᎭ	[ahsdóːyeha] /rrd/
Shawnee	ᎠᏂᏌᏩᏄᎩ	[aniːsaːwanuːgi] /rrd/
Sheep	ᎤᏃᏕᎾ	[unodeːna] /rrd/
Sheet	ᎠᎬᎯᏓ	[akvhida] /rrd/
Sheet sling used to carry a baby on one's back	ᎤᏛᏃ	[uːdvno] /rrd/
Sheets	ᏧᏛᏃᎯᏛ	[tsuːdvnoːhidv] /rrd/
Shell	ᎤᏯᏍᎦ	[uhyaːsga] /rrd/
Shelling	ᎬᏙᎩᎠ	[gvːtoːkíʔa] (peas) /rrd/
Shelling corn	ᏓᎦᏔᎵᎭ	[daːktaliha] /rrd/
Shepherd	ᏗᎦᏘ	[diːkti] /rrd/
Shin bone	ᎠᏍᎬᏓᎨᏂ	[asgvːdageːni] (his) /rrd/
Shingle	ᏒᏓᎷᎩ	[svdaluːgi] /rrd/
Shining	ᎤᏔᎷᎩᎠ	[uːhtalúːgiʔa] /rrd/
Shining	ᎠᎦᎵᎭ	[agaːlíha] (the sun) /rrd/
Shirt	ᎠᏅᏬ	[aːhnvwo] /rrd/
Shoals	ᎤᏍᏓᎾᎵ	[uhsdanaːli] /rrd/
Shoe	ᎤᎳᏑᎶ	[uːhlasuːlo] (his) /rrd/
Shooting	ᎠᏲᎯᎭ	[ayohiha] /rrd/
Shopping	ᎠᏓᎾᎾᎩᎠ	[adaːnanagíʔa] /rrd/
Short	ᏍᏆᎳᎯ	[sgwaːlahi] /rrd/
Short height	ᎡᎳᏗ ᎢᎦᏗ	[eːlad iːgadi] /rrd/
Shouldering it	ᎦᏃᏒᎥᏍᎦ	[ganoːsvʔvːsga] /rrd/
Shouting	ᎠᏙᎯᎠ	[atoːhiːʔa] /rrd/
Shovel	ᎪᏕᏍᎩ	[koːdesgi] /rrd/
Show	ᏗᎾᏛᏁᎵᏍᎬᎢ	[diːnadvːneːlisgvʔi] /rrd/
Showing him	ᎠᏎᎮᎭ	[ahséheha] /rrd/
Shrew	ᏔᎳᏍᎨᏫ	[taːhlsgeːwi] /rrd/
Shucking corn	ᏕᎦᏄᎳᎩᎠ	[deːganuːlagiʔa] /rrd/
Shutting it	ᎠᏍᏚᎲᏍᎦ	[ahsduhv́hsga] /rrd/
Sialia sialis	ᏣᏉᎳᏕ	[tsaːgwoːlde] /rrd/
Sibling-in-law	ᎤᏪᎳᎦᏏ	[uːwelaːksi] (his) /rrd/
Sick	ᎤᏨᎦ	[uːhtsvːga] /rrd/
Sick	ᏍᏗᏯᎯ	[sdiːyahi] /rrd/
Sickness	ᎤᏨᎬ	[uːhtsvːgv] /rrd/
Side	ᎠᏍᏆᎨᏂ	[asgwageːni] (his) /rrd/
Side of a mountain	ᎣᏛᎶᎣᏗ	[oːdvhloʔohdi] (on the) /rrd/
Side of his body	ᎠᏍᏆᎨᏂ	[asgwageːni] /rrd/
Sifter	ᎬᎪᏍᏗ	[gvgoːsdi] /rrd/
Sifting	ᎦᎪᏍᏗᎭ	[gagoːsdiːha] /rrd/
Sifting flour	ᎠᎪᏛᎥᏍᎦ	[akodvːʔvhsga] /rrd/
Signing it	ᎠᏍᏓᏱᏗᎠ	[ahsdaʔyíːdiʔa] /rrd/
Silly	ᎤᏬᏥᏗ	[uːwotsdi] /rrd/
Simulium meridionale	ᏙᏌ	[dosa] /rrd/
Singing	ᏕᎧᏃᎩᎠ	[deːkanoːgiʔa] /rrd/
Sink	ᎠᎹ ᎠᏥᏍᏗ	[am atsihsdi] /rrd/
Sinking	ᎦᏃᏴᎦ	[ganoːyv́ːga] /rrd/
Sister	ᎤᎸᎢ	[ulvːʔi] (female ego) (her) /rrd/
Sister	ᎤᏙᎯ	[uːdoːhi] (male ego) (his) /rrd/
Sister's daughter	ᎤᏙ	[uːto] (female ego) (her) /rrd/
Sister's son	ᎤᏫᎾ	[uːwiːna] (male ego) (his) /rrd/
Sitta carolinensis	ᏗᏪᏓᎶᎯ	[diweːdaloːhi] /rrd/
Sitting	ᎠᎲᏍᎦ	[ahvhsga] /rrd/
Sitting	ᎤᏬᎳ	[uːwohla] /rrd/
Sitting	ᎠᏍᎩᎸᎥᏍᎦ	[ahsgilvːʔvhsga] (on something) /rrd/
Six	ᏑᏓᎵ	[suːdali] /rrd/
Sixteen	ᏓᎳᏚᎯ	[dalaːduhi] /rrd/
Sixty	ᏑᏓᎵᏍᎪᎯ	[suːdaːhlsgoːhi] /rrd/
Skating	ᏓᎵᎾᏒᏍᏗᎭ	[daːhlinasvsdiha] /rrd/
Skilled	ᎠᏏᎾᎭ	[ahsíːnaha] /rrd/
Skilled	ᎠᏏᎾᏌᏅᎦ	[ahsíːnahsanvːga] (becoming) /rrd/
Skillet	ᎦᏖᏌᏗ	[gateːsadi] /rrd/
Skin	ᎤᏁᎦᎸᎢ	[uːneːgaʔlvːʔi] (his) /rrd/
Skink	ᏣᏁᏅ	[tsaneːnv] /rrd/
Skinned place	ᎤᏓᏁᎦᎸᏓ	[udaneːgalvːda] /rrd/
Skinning it	ᎦᎮᎦᎵᎭ	[gaːhéːgaliha] /rrd/
Skinny	ᎤᎴᏐᏓ	[uːlehsoːda] /rrd/
Skirt	ᎠᏌᏃ	[asano] /rrd/
Skunk	ᏗᎵ	[diːli] /rrd/
Sky	ᎦᎸᎶᎢ	[galvːloʔi] /rrd/
Slapping it	ᎠᏆᎸᏂᎭ	[aːkwalvːʔniha] /rrd/
Sled	ᏗᏓᎾᏏᏁᎩ	[didaːnsineːgi] /rrd/
Sleepy	ᎦᎸᏍᎦ	[gaːhlvːsga] /rrd/
Sleeve	ᎪᏯᏛᎢ	[goːhyadvʔi] /rrd/
Slender rush	ᎧᏁᏍᎦ	[kaneːsga] /rrd/
Slicky mushroom	ᎤᏂᎶᏇ	[uniloːgwe] /rrd/
Slicky mushroom	ᏧᏂᎶᎩ	[tsuniːhlogi] /rrd/
Slicky mushroom	ᏧᏂᎶᏇ	[tsuːniːhloːgwe] /rrd/
Sliding	ᎠᏑᏲᎰᏍᎦ	[ahsúːyohohsga] /rrd/
Sliding it	ᏕᎦᏑᏲᎰᏅᏗᎭ	[deːgasúːyohonhdiha] /rrd/
Slipper orchids	ᎤᎫᏇ ᎤᎳᏑᎳ	[ukgwe ulahsula] /rrd/
Slipping up on	ᎦᏃᎵ	[ganóːli] /rrd/
Slow	ᎠᏍᎦᏃᎳ	[ahsganoːla] /rrd/
Small amount	ᎦᏲᎵ	[gaːyoːhli] /rrd/
Small pox	ᎤᏅᏔᏆᎵ	[unvtaːgwali] /rrd/
Small river	ᎱᏂᎯᎥ	[huniːhiv] /rrd/
Smelling it	ᎤᏩᏩᏒᎦ	[uːwahwsv́ʔga] /rrd/
Smells, is smelly	ᎦᏆᏒᎦ	[gaːgwsvːga] /rrd/
Smelly	ᎦᏆᏒᎦ	[gaːgwsvːga] /rrd/
Smilax glauca	ᏄᎦᎸ	[nuːgaːhlv] /rrd/
Smilax herbacea	ᏏᎦᏓᏍᎩ	[siːgadaːsgi] /rrd/
Smilax rotundifolia	ᎠᏂᏍᎩᎾ ᎤᎾᏁᏌᏓ	[aniːsgina unanehsada] /rrd/
Smiling	ᎤᏰᏥᏍᎦ	[uːyéːtshga] /rrd/
Smoking	ᎪᎩᏍᎦ	[gǒːghsga] /rrd/
Smooth alder	ᎠᏤᏓ	[aːhtseːhd] /rrd/
Smooth carrionflower	ᏏᎦᏓᏍᎩ	[siːgadaːsgi] /rrd/
Smooth herbaceous greenbrier	ᏏᎦᏓᏍᎩ	[siːgadaːsgi] /rrd/
Smooth shadbush	ᎤᏙᎳᏂ	[udoːlani] /rrd/
Snail	ᎡᎶᏆ	[eːlogwa] /rrd/
Snake	ᎢᎾᏓ	[iːnada] /rrd/
Snake, with deer horns	ᎤᎧᏖᎾ	[ukteːna] (mythical) /rrd/
Snakeroot	ᎪᎳᎧᎩᏍᏗ	[koːlakagiːsdi] /rrd/
Snapping turtle	ᏌᎵᎫᎩ	[salígúːgi] /rrd/
Sneaking up on	ᎦᏃᎵ	[ganóːli] /rrd/
Sneezing	ᏚᏴᏍᏙᏯᏍᎦ	[dùːysdóyhsga] /rrd/
Sniffling	ᎤᏴᏍᎩᎷᏙᎦ	[ùːyv́sgiluːdoːga] /rrd/
Snoring	ᏓᏆᎳᎩᎠ	[daːkwalaːgíʔa] /rrd/
Snow on the ground	ᎤᏅᏥ	[uːntsi] /rrd/
Snowbird	ᏚᏘ	[tuːti] /rrd/
Snowbird Community	ᏚᏘᏱ	[tuːtiːyi] /rrd/
Snowing	ᎫᏘᎭ	[guːtiha] /rrd/
Snuff	ᏦᎳ ᎤᏬᏍᎩᎵ	[tsoːla uwoːsgili] /rrd/
So long for now	ᎭᏩᏉ	[hawaːgwo] (idiom) /rrd/
Soaking it	ᎬᏩᎳᏍᎦ	[gvːhwalǎːhsga] /rrd/
Soap	ᎣᎳ	[oːhla] /rrd/
Sochana	ᏐᏤᎾ	[soːtseːna] /rrd/
Sock	ᎤᎵᏲᎯ	[uːliːyohi] (his) /rrd/
Soft	ᏩᎾ	[waːna] /rrd/
Soft corn	ᏧᏩᏂᎨᎢ	[tsuwaniːgeʔi] (roasting stage) /rrd/
Softstem bulrush	ᎦᎾᎦᏥ ᎤᏔᎾ	[ganaːgatsi utana] /rrd/
Solanum lycopersicum	ᎤᏂᏁᎫᎯᏍᏗ	[uniːneːguhihsdi] /rrd/
Solanum tuberosum	ᏄᎾ	[nuːna] /rrd/
Soldier	ᎠᏲᏍᎩ	[aʔyohsgi] /rrd/
Sole of his foot	ᎤᏍᏓᏁᎦᎸᎢ	[uːhsdaneːgaʔlvːʔi] (his) /rrd/
Solid	ᎠᏍᏓᏱ	[aʔsdaːyi] (object) /rrd/
Solomon's seal	ᎤᎦᎾᏍᏗ	[uganasdi] /rrd/
Some other time	ᎢᏳᏉ	[iːyuːgwo] /rrd/
Somebody	ᎩᎶᎢ	[kiloʔi] /rrd/
Someone	ᎩᎶᎢ	[kiloʔi] /rrd/
Something	ᎦᎱᏍᏗ	[gahusdi] /rrd/
Something	ᎠᏯᎠ	[ayaʔa] (something alive) (in) /rrd/
Something	ᎦᎳᎠ	[gaːhlaːa] (something solid) (in) /rrd/
Something or things way off in the distance	ᏂᎨᎢᏴᏓ	[nigeʔiːyvːda] /rrd/
Son-in-law	ᎤᏄᏥ	[uːnuːtsi] /rrd/
Song	ᎧᏃᎩᏍᏗ	[kanoːgiːsdi] /rrd/
Song sparrow	ᏥᎦᏣ	[tsiːgtsa] /rrd/
Songbook	ᎪᏪᎵ ᏗᎧᏃᎩᏍᏗ	[goːhweːli dikanoːgiːsdi] /rrd/
Soot	ᎤᏦᏅᎯᏓ	[utsoːnvhiːda] /rrd/
Sore	ᎤᎵᏍᏓᎸᎢ	[uhlsdalvːʔi] /rrd/
Sore	ᎤᏓᏁᎦᎸᏓ	[udaneːgalvːda] /rrd/
Sorrel tree	ᏅᏙᏇᏯ	[nvːdokweːhya] /rrd/
Soul	ᎠᏍᎩᎾ	[asgiːna] /rrd/
Soup	ᎤᎦᎹ	[uːgama] /rrd/
Sour	ᏧᏂᏦᏍᏗ	[tsuːhnitsoːsdi] /rrd/
Sourwood	ᏅᏙᏇᏯ	[nvːdokweːhya] /rrd/
South	ᏧᎦᏃᏮᎢ	[tsuːgaːnowvʔi] /rrd/
Spade	ᎪᏕᏍᎩ	[koːdesgi] /rrd/
Spaniards	ᎠᏂᏍᏆᏂ	[aniːsgwaːni] /rrd/
Spanking him	ᎠᏆᎸᏂᎭ	[agwalvːʔníha] /rrd/
Sparrow	ᏥᏍᏆᏯ	[tsiːsgwaːya] /rrd/
Sparrow hawk	ᎩᎩ	[giːgi] /rrd/
Speaking	ᎦᏬᏂᎭ	[gawoːniha] /rrd/
Speaking	ᎧᏁᎦ	[kanéːga] /rrd/
Speaking to him	ᎠᎵᏃᎮᏗᎭ	[ahlinohéhdiha] /rrd/
Spear	ᏴᎩ	[yvːgi] /rrd/
SpearFinger	ᏴᎩ ᎤᏩᏑᎧᎵ	[yvːgi uwaːsukaːhli] (Mythological) /rrd/
Speckled	ᎤᏅᏣᏗ	[uhnvːtsadi] /rrd/
Speckled trout	ᎤᏅᏣᏘ	[uːhnvːtsati] /rrd/
Speech	ᎢᎬᏁᎢᏍᏗ	[iːgvneːʔisdi] /rrd/
Speeding it up	ᎦᏣᏄᎵᏗᎠ	[gatsanúːldiʔa] /rrd/
Spelling	ᎠᏍᏇᎵᏰᎠ	[ahsgweːlíːyeʔa] /rrd/
Sphyrapicus varius	ᏧᎵᎡᎾ	[tsuːliʔeːna] /rrd/
Spicebush	ᏃᏓᏥ	[noːhdatsi] /rrd/
Spicewood	ᏃᏓᏥ	[noːhdatsi] /rrd/
Spicket	ᎠᎹ ᎤᏩᏙᎣᎯᏍᏗ	[am uwaːdoʔohihsdi] /rrd/
Spider	ᎦᎾᏁᏍᎩ	[ganaːneːsgi] /rrd/
Spider	ᎧᎾᏁᏍᎩ	[kanaːhneːsgi] /rrd/
Spiderwort	ᏔᏆᎵ	[taːgwaːli] /rrd/
Spilling a non-liquid	ᎠᏤᏫᎠ	[atseːwiʔa] /rrd/
Spilling it	ᎠᏨᎥᏍᎦ	[atsv́ʔvːsga] (a liquid) /rrd/
Spinus tristis	ᏩᏓᎬ	[wadaːgv] /rrd/
Spiny amaranth	ᏙᎳᏗᏳᏍᏗ	[toːhldiyusdi] /rrd/
Spirit	ᎠᏍᎩᎾ	[asgiːna] /rrd/
Spitting	ᎠᎵᏥᏍᏈᏍᎦ	[ahtsiːskwsga] /rrd/
Split lip	ᏧᏚᎶᏗ	[tsuduːloːdi] /rrd/
Sponge morel	ᎤᏂᏒᏙᏂ	[uːnihsvːdoni] /rrd/
Spoon	ᎠᏗᏙᏗ	[adihtohdi] /rrd/
Spotted touch-me-not	ᏩᎴᎷ ᎤᏂᎦᎴᎩᏍᏗ	[waleːlu unigalegisdi] /rrd/
Spotted wintergreen	ᎠᏨᎩ ᎢᎾᎨ ᎡᎯ	[ahtsvːgi inageː ehi] /rrd/
Spout	ᎠᎹ ᎤᏩᏙᎣᎯᏍᏗ	[am uwaːdoʔohihsdi] /rrd/
Spraining his ankle, wrist	ᎠᏛᎳᎦ	[advːlaːga] /rrd/
Spring	ᎠᎹ ᎦᏄᎪᎬᎢ	[am ganuːgoːgvːʔi] (of water) /rrd/
Spring frog	ᏚᏍᏚ	[duːsdu] /rrd/
Spring onion	ᎤᏩᏍᏗ	[uwahsdi] /rrd/
Sprinkling	ᎠᏍᏚᏥᏍᏙᎭ	[ahsduːtsidoha] /rrd/
Sprinkling it	ᎠᎪᏛᎥᏍᎦ	[akodvːʔvhsga] (a powder or fine granular substance) /rrd/
Sprouting	ᎠᎵᏰᎲᏍᎦ	[aliyeːhvhsga] /rrd/
Spruce	ᏃᏥ ᎢᏳᏍᏗ	[noːtsi iyusdi] /rrd/
Squash	ᏩᎩᎦ	[waːgiːga] /rrd/
Squirrel	ᏌᎶᎵ	[saloːli] /rrd/
Stabbing him	ᎦᏣᏲᎯᎭ	[gatsayóhiha] /rrd/
Stacking it	ᎦᏒᏔᏍᎦ	[gasvːtaːsga] /rrd/
Stacking them	ᏓᏰᎧᎳᏍᎦ	[daːyekaːhlaːsga] /rrd/
Stag	ᎦᎳᎩᎾ	[galagiːna] /rrd/
Standing	ᎦᏙᎦ	[gadoːga] /rrd/
Star	ᏃᏈᏏ	[nokwisi] /rrd/
Starting it	ᎠᎴᏂᎠ	[aleːniʔa] /rrd/
Startling him	ᎠᏖᏍᏗᎭ	[ateːsdiha] /rrd/
Starvation	ᎠᎪᎾ	[agoːna] /rrd/
Staying	ᎡᏙᎮᏍᏗᏉᎠ	[eːdoʔheːsdigwoʔa] /rrd/
Stealing	ᎦᏃᏍᎩᎠ	[ganohsgíʔa] /rrd/
Stealing from him	ᎦᏅᏌᎲᏍᎦ	[ganhsahv̌ːhsga] /rrd/
Stem	ᎤᏪᏅᏍᏛᎢ	[uːweːnvːsdvːʔi] /rrd/
Stem	ᎤᏴᏘᏅᏔ	[uːhyvːtinvːta] /rrd/
Stepping	ᎠᎳᏍᎬᎠ	[alasgvːʔa] /rrd/
Stepping on it	ᎠᎳᏍᏛᎥᏍᎦ	[alahsdvʔvhsga] /rrd/
Stick	ᎠᏓ	[ahda] /rrd/
Stick pin	ᎤᏍᏆᏗ	[uːsgwaːhdi] /rrd/
Sticking it	ᎠᏣᏲᎵᎭ	[degatsayóhliha] /rrd/
Sticking it to something	ᎠᏯᎸᎥᏍᎦ	[ayalvʔvhsga] /rrd/
Sticking to it	ᎦᏯᎸᏅᎦ	[gayalvːnga] /rrd/
Sticky	ᏧᏤᏲᏍᏗ	[tsuːtseyoːsdi] /rrd/
Stinging him	ᎦᏨᏯᏍᎦ	[gaːtsvːhyhsga] /rrd/
Stirring it	ᎠᏑᎨᎭ	[ahsúːgeha] /rrd/
Stitch	ᎦᏰᏈᏍᎬᎢ	[gayeːkwsgvʔi] /rrd/
Stomach	ᎤᏍᏉᎵ	[uːsgwoːhli] /rrd/
Stone Mountain, GA	ᏦᏓᎸ ᏅᏯ	[tsoːdalv nvʔya] /rrd/
Stopper	ᏚᏬᎵ	[duwoːhli] /rrd/
Store	ᎠᏓᎾᏅᎢ	[aːdaʔnanvːʔi] /rrd/
Store at a distance	ᏗᏓᏅᎢ	[didaːnvʔi] /rrd/
Storm crow	ᏓᎶᎬ	[daloːgv] /rrd/
Stove	ᎠᏓᏍᏓᏴᏗ	[adasdahydi] /rrd/
Straddling it	ᎠᎩᎸᎥᏍᎦ	[ahkilvʔvhsga] /rrd/
Strainer	ᎦᏁᏐᎸᏍᏙᏗ	[ganesoːlvsdoʔdi] /rrd/
Strawberry	ᎠᏂ	[aːni] /rrd/
Stream	ᎱᏂᎯᎥ	[huniːhiv] /rrd/
Strengthening it	ᎠᏍᏓᏱᏗᎠ	[ahsdaʔyíːdiʔa] /rrd/
Streptopus lanceolatus	ᏧᎯᏥᏆ	[tsuːhiːtsgwa] /rrd/
Stretch mouth snake	ᏆᎾᏗᏯ	[gwaːndiya] /rrd/
Stretching	ᏓᏓᎾᎩᎠ	[daːdanagíʔa] /rrd/
Stretching	ᏕᎫᏣᎾᎩᎠ	[deːguːtsangíʔa] /rrd/
Stringing beans	ᏕᎦᏓᏃᎳᎩᎠ	[deːgáːdanoːlagiʔa] /rrd/
Striped horse	ᏧᏂᎶᏗ ᏐᏈᎵ	[tsuːniːloːhdi soːgwili] /rrd/
Striped skunk	ᏗᎵ	[diːli] /rrd/
Striped wintergreen. Wintergreen	ᎠᏨᎩ ᎢᎾᎨ ᎡᎯ	[ahtsvːgi inageː ehi] /rrd/
Strix varia	ᎤᎫᎫ	[uguːku] /rrd/
Strong	ᎤᎵᏂᎩᏓ	[uhliniːgiːda] /rrd/
Student	ᏗᏕᎶᏆᏍᎩ	[diːdeloːgwaːsgi] /rrd/
Studying	ᎠᎪᎵᏰᎠ	[agoːlíːyeʔa] /rrd/
Stumbling	ᏚᏙᎨᎯᏙᎭ	[duːdoːgeːhiːdoːha] /rrd/
Sturnella magna	ᏃᏈᏏ	[nokwisi] /rrd/
Subtracting	ᎠᏌᎩᏏᏙᎠ	[ahsagiːsidoʔa] /rrd/
Sucking something.	ᏓᏍᏆᏄᏥᎦ	[daːsgwanuːtsga] (Continously, like his thumb.) /rrd/
Suffering	ᎠᎩᎵᏲᎦ	[agiːhlíyoʔga] /rrd/
Sugar	ᎧᎵᏎᏥ	[kaːhlseːtsi] /rrd/
Sugar maple	ᏧᏩᎩ	[tsuːwaːgi] /rrd/
Sumac	ᏆᎶᎦ	[gwaːloːga] /rrd/
Summer	ᎪᎩ	[goːgi] (1st new moon in April to the 1st new moon in October) /rrd/
Summer grapes	ᏆᎷᏏ	[kwalúsi] /rrd/
Sun	ᎢᎦ ᎡᏙᏅᏓ	[iːga eːdoːnvːdʔa] /rrd/
